subject,sender,body,category
Seeking Guidance on ADHD Medication Process,marta.thor@gmail.com,"Hi there, I'm seeking advice on the process for restarting ADHD medication after a long break. Any resources or guidance would be highly appreciated.",Information Request
ADHD Treatment Options Inquiry,olafsson@outlook.com,"Hello, I was recently diagnosed with ADHD. Could you advise me on how to find appropriate treatment options?",Information Request
Web Shop Order: Mindfulness Workbook,john.smith@mail.com,"Hi, I ordered the Mindfulness Workbook for ADHD but haven't received it yet. Could you update me on the shipping status?",Web Shop Order
Confirmation: Parents Support Course,noreply@virk.is,"Thank you for enrolling in the 'Parents Support for ADHD' course. The course will provide practical tools to help manage ADHD symptoms at home.",Course Confirmation
Delivery Delay for Stress Relief Book,sara.helga@adhd.is,"Hello, I was wondering if there is any delay with my recent order for the 'Stress Relief for Adults with ADHD' book. Please let me know.",Web Shop Order
ADHD Resources for Teachers,jennifer.teacher@gmail.com,"I'm a high school teacher working with several students diagnosed with ADHD. Could you recommend classroom strategies or resources?",Information Request
Námskeið: Grunnur fyrir börn með ADHD,noreply@virk.is,"Sæl/l, Skráning þín í námskeiðið 'Grunnur fyrir börn með ADHD' hefur verið staðfest. Vinsamlegast skoðaðu meðfylgjandi upplýsingar um námskeiðið.",Course Confirmation
Order Inquiry: Focus Planner,focuslife@mail.com,"Hi, I ordered the Focus Planner two weeks ago and haven’t received it. Could you check the status for me?",Web Shop Order
Request for Diagnostic Clinics,karenjane@hotmail.com,"I am looking for ADHD diagnostic clinics near Reykjavík. Could you help point me in the right direction?",Information Request
Course Registration Confirmation - ADHD and Family Support,noreply@virk.is,"Congratulations! Your registration for 'ADHD and Family Support' has been confirmed. We look forward to seeing you at the session.",Course Confirmation
Toy Order Status Inquiry,mark.orders@xyzmail.com,"Good day, Could you please update me on the status of my toy order placed last week? It's still marked as pending.",Web Shop Order
Parent Training Program Registration,noreply@virk.is,"Til hamingju! Þú ert nú skráður í 'foreldraþjálfun fyrir börn með ADHD' námskeiðinu. Við hlökkum til að sjá þig.",Course Confirmation
Diagnosis Referral Assistance,emma.ask@askmail.com,"Hi, my doctor recommended I reach out to you for assistance in finding a specialist for ADHD diagnosis. Can you help?",Information Request
Web Shop Query: Therapy Journal,sophie.order@adhd.is,"Hello, I ordered a Therapy Journal from your shop, but the package seems delayed. Can you check the delivery status?",Web Shop Order
Enrollment Confirmation: School Environment and ADHD,noreply@virk.is,"Your registration for the 'School Environment and ADHD' course is confirmed. Please check your email for additional details.",Course Confirmation
Biðja um skjöl um ADHD,einar.sig@mail.com,"Daginn, ég er að leita að skjölum eða úrræðum sem fjalla um hvernig ADHD getur haft áhrif á vinnu. Vinsamlegast látið mig vita ef slík úrræði eru tiltæk.",Information Request
Delivery Issue - ADHD Support Kit,orders@helpnow.is,"Hi there, I received the wrong item in my recent order. Could you assist with an exchange for the ADHD Support Kit?",Web Shop Order
Educational Seminar Confirmation,noreply@virk.is,"We’re happy to confirm your registration for the educational seminar on 'ADHD Management in Daily Life'. Looking forward to your participation.",Course Confirmation
Info Request: Coping Strategies for ADHD,anita.request@mail.com,"I’m interested in learning about coping strategies for adults with ADHD. Do you offer workshops or have materials on this topic?",Information Request
Web Shop Issue: ADHD Calendar,davidcalendar@shopmail.com,"Hello, My ADHD calendar order hasn't arrived. Could you provide an update on the shipment?",Web Shop Order
Requesting ADHD Diagnosis Guidance,freyrnordic@gmail.com,"Hello, I suspect I may have ADHD but don't know where to start. Could you point me toward specialists or clinics that could help me?",Information Request
Confirmation for Parenting Workshop on ADHD,noreply@virk.is,"Congratulations! Your registration for the 'Parenting Strategies for ADHD' workshop has been confirmed. You will gain tools for managing ADHD at home.",Course Confirmation
Seeking Update on ADHD Journal Order,katrinstar@outlook.com,"Hi, I placed an order for the ADHD Journal two weeks ago and haven’t received any shipping updates. Can you check the status for me?",Web Shop Order
Assistance with ADHD Medication Process,solarsky@adhd.is,"Hi, I'm struggling to get approval for my ADHD medication through insurance. Any advice or resources on navigating this would be greatly appreciated.",Information Request
Order Delay Inquiry for Reflective Stickers,odincloud@outlook.com,"Could you update me on the status of my reflective sticker order? It’s been a while, and I haven’t received any shipping confirmation yet.",Web Shop Order
Course Confirmation: ADHD in Teens,noreply@virk.is,"You are successfully enrolled in the 'ADHD in Teens' course. This course focuses on helping teenagers manage ADHD symptoms effectively. We look forward to your participation.",Course Confirmation
Request for Information on ADHD Support Groups,jenny.support@gmail.com,"I am looking for a local ADHD support group. Could you direct me to any resources or groups in the area?",Information Request
Order Issue: Missing Item from My Package,alexmystic@outlook.com,"Hello, my recent order is missing one item. Could you help me resolve this?",Web Shop Order
Confirmation for ADHD Webinar Registration,noreply@virk.is,"Your registration for the 'Understanding ADHD' webinar has been confirmed. We will cover practical strategies for managing ADHD symptoms. See you there!",Course Confirmation
Seeking Recommendations for ADHD-Friendly Therapists,emmahope@therapy.com,"I’m searching for affordable therapists who specialize in ADHD. Could you suggest any in my area?",Information Request
Order Cancelation Request for Mindfulness Kit,frejadream@outlook.com,"Hello, I need to cancel my order for the Mindfulness Kit. Could you assist me with the cancellation process?",Web Shop Order
Registration Confirmation: Parenting for ADHD,noreply@virk.is,"Congratulations! Your spot in the 'Parenting for ADHD' course has been secured. The course will teach practical strategies for supporting children with ADHD.",Course Confirmation
Looking for ADHD Management Strategies,helgabliss@mail.com,"I’m a teacher with several ADHD students. Do you have materials or suggestions for managing ADHD in the classroom?",Information Request
Update Request: ADHD Planner Shipping Status,hrafnsaga@adhd.is,"Could you provide an update on my recent order for the ADHD Planner? It’s been over two weeks with no update.",Web Shop Order
